PhotonEnergy_meV,Total_manning_prefactor_0,Total_manning_prefactor_0_5,Total_manning_prefactor_1,Total_manning_prefactor_1_5,Total_manning_prefactor_2,Optical_manning_prefactor_0,Optical_manning_prefactor_0_5,Optical_manning_prefactor_1,Optical_manning_prefactor_1_5,Optical_manning_prefactor_2,Piezoelectric_manning_prefactor_0,Piezoelectric_manning_prefactor_0_5,Piezoelectric_manning_prefactor_1,Piezoelectric_manning_prefactor_1_5,Piezoelectric_manning_prefactor_2
8.1,2.20910453691724e-07,4.35107782783672e-07,8.49337404219917e-07,1.59968683267827e-06,3.38888521190794e-06,1.93062621538487e-07,3.33062501484054e-07,6.96603812617991e-07,1.36809592703667e-06,3.03327101913133e-06,2.78478321532372e-08,1.02045281299619e-07,1.52733591601926e-07,2.315909056416e-07,3.55614192776611e-07
8.11,2.21062902892042e-07,4.35445963369416e-07,8.50112029046993e-07,1.60159272427938e-06,3.39456591388146e-06,1.9320226503232e-07,3.33351468475016e-07,6.97295869516131e-07,1.36986026526286e-06,3.03870375309995e-06,2.78606378597221e-08,1.020944948944e-07,1.52816159530861e-07,2.31732459016525e-07,3.55862160781511e-07
8.12,2.21215512439312e-07,4.35784555720493e-07,8.50887798934619e-07,1.60350231091713e-06,3.40026209458441e-06,1.93342060077999e-07,3.33640811655564e-07,6.97989004244342e-07,1.37162816806884e-06,3.04415170469912e-06,2.78734523613133e-08,1.02143744064929e-07,1.52898794690277e-07,2.3187414284829e-07,3.56110389885288e-07
8.13,2.21368282668449e-07,4.36123560902226e-07,8.51664716239125e-07,1.60541560253416e-06,3.40597381215541e-06,1.93482006894888e-07,3.33930531678902e-07,6.98683219085659e-07,1.37339964523611e-06,3.04961493169843e-06,2.78862757735612e-08,1.02193029223325e-07,1.52981497153466e-07,2.32015957298043e-07,3.56358880456977e-07
8.14,2.21521213769583e-07,4.364629793615e-07,8.52442783323039e-07,1.60733260910715e-06,3.41170112500958e-06,1.9362210570275e-07,3.34220629199652e-07,6.99378516329216e-07,1.37517470657997e-06,3.05509349214332e-06,2.78991080668339e-08,1.02242350161848e-07,1.53064266993822e-07,2.32157902527184e-07,3.56607632866266e-07
8.15,2.21674305870771e-07,4.36802811504064e-07,8.53222002555105e-07,1.60925334064701e-06,3.41744409184019e-06,1.93762356721744e-07,3.34511104873858e-07,7.00074898270265e-07,1.37695336194965e-06,3.06058744435669e-06,2.79119491490273e-08,1.02291706630206e-07,1.5314710428484e-07,2.3229997869736e-07,3.56856647483502e-07
8.16,2.21827559613245e-07,4.37143058166995e-07,8.54002376310305e-07,1.61117780719898e-06,3.42320277162017e-06,1.93902760172429e-07,3.3480195935899e-07,7.00772367210191e-07,1.3787356212285e-06,3.06609684694048e-06,2.79247994408156e-08,1.02341098808005e-07,1.53230009100114e-07,2.32442185970473e-07,3.57105924679692e-07
8.17,2.21980974539708e-07,4.37483720546471e-07,8.54783906969878e-07,1.61310601884277e-06,3.4289772236038e-06,1.94043316275763e-07,3.35093193313947e-07,7.0147092545654e-07,1.38052149433409e-06,3.0716217587773e-06,2.79376582639444e-08,1.02390527232524e-07,1.53312981513338e-07,2.32584524508673e-07,3.57355464826503e-07
8.18,2.221345516219e-07,4.37824798835154e-07,8.55566596921341e-07,1.61503798569274e-06,3.43476750732829e-06,1.94184025253106e-07,3.35384807399061e-07,7.02170575323031e-07,1.38231099121838e-06,3.07716223903203e-06,2.79505263687946e-08,1.02439991436092e-07,1.5339602159831e-07,2.32726994474364e-07,3.57605268296261e-07
8.19,2.22288290764077e-07,4.38166293411332e-07,8.56350448558508e-07,1.61697371789803e-06,3.4405736826154e-06,1.94324887326216e-07,3.35676802276102e-07,7.0287131912958e-07,1.38410412186783e-06,3.08271834715344e-06,2.79634034378609e-08,1.0248949113523e-07,1.53479129428928e-07,2.32869596030203e-07,3.57855335461962e-07
8.2,2.22442191859733e-07,4.38508205861721e-07,8.5713546428151e-07,1.61891322564267e-06,3.4463958095731e-06,1.94465902717257e-07,3.35969178608278e-07,7.0357315920232e-07,1.38590089630358e-06,3.08829014287584e-06,2.79762891424764e-08,1.02539027253442e-07,1.53562305079189e-07,2.33012329339099e-07,3.58105666697261e-07
8.21,2.22596256407219e-07,4.38850536419965e-07,8.57921646496815e-07,1.62085651914579e-06,3.45223394859723e-06,1.94607071648793e-07,3.36261937060244e-07,7.0427609787362e-07,1.38770132458157e-06,3.09387768622075e-06,2.79891847584257e-08,1.0258859935972e-07,1.53645548623195e-07,2.33155194564214e-07,3.5835626237648e-07
8.22,2.22750483425268e-07,4.39193285463633e-07,8.58708997617251e-07,1.62280360866169e-06,3.45808816037313e-06,1.94748394343795e-07,3.36555078298103e-07,7.04980137482104e-07,1.38950541679272e-06,3.09948103749851e-06,2.80020890814735e-08,1.0263820716553e-07,1.53728860135147e-07,2.33298191868965e-07,3.58607122874612e-07
8.23,2.22904874306886e-07,4.39536454211934e-07,8.59497520062022e-07,1.62475450448005e-06,3.46395850587732e-06,1.94889871025635e-07,3.36848602989407e-07,7.05685280372673e-07,1.39131318306303e-06,3.10510025731001e-06,2.80150032812506e-08,1.02687851222528e-07,1.53812239689349e-07,2.33441321417022e-07,3.58858248567318e-07
8.24,2.23059427808476e-07,4.39880043322602e-07,8.60287216256734e-07,1.62670921692605e-06,3.46984504637924e-06,1.95031501918095e-07,3.37142511803166e-07,7.06391528896528e-07,1.39312463355374e-06,3.11073540654831e-06,2.80279258903806e-08,1.02737531519436e-07,1.53895687360206e-07,2.33584583372311e-07,3.59109639830925e-07
8.25,2.23214144024525e-07,4.40224053287902e-07,8.61078088633409e-07,1.62866775636053e-06,3.47574784344286e-06,1.95173287245361e-07,3.3743680540985e-07,7.07098885411182e-07,1.39493977846151e-06,3.11638654640042e-06,2.80408567791638e-08,1.02787247878052e-07,1.53979203222227e-07,2.33727977899014e-07,3.5936129704244e-07
8.26,2.23369029337734e-07,4.40568484702355e-07,8.61870139630511e-07,1.6306301331801e-06,3.48166695892846e-06,1.95315227232026e-07,3.37731484481391e-07,7.0780735228049e-07,1.39675862801854e-06,3.12205373834892e-06,2.80538021057075e-08,1.02837000220964e-07,1.54062787350021e-07,2.33871505161566e-07,3.59613220579536e-07
