PhotonEnergy_meV,TotalRaw,OpticalRaw,PiezoelectricRaw
8,8.15157639979851e-10,5.20219013218591e-10,2.9493862676126e-10
8.01,8.16133539427591e-10,5.20654439952866e-10,2.95479099474725e-10
8.02,8.17114167229972e-10,5.21090436015017e-10,2.96023731214955e-10
8.03,8.18099606271933e-10,5.21527002457031e-10,2.96572603814902e-10
8.04,8.1908994215235e-10,5.21964140333516e-10,2.97125801818834e-10
8.05,8.20085263334957e-10,5.22401850701705e-10,2.97683412633252e-10
8.06,8.21085661300903e-10,5.22840134621465e-10,2.98245526679439e-10
8.07,8.22091230702268e-10,5.23278993155306e-10,2.98812237546961e-10
8.08,8.23102069516539e-10,5.23718427368392e-10,2.99383642148146e-10
8.09,8.24118279202596e-10,5.24158438328544e-10,2.99959840874052e-10
8.1,8.2513996485912e-10,5.24599027106254e-10,3.00540937752866e-10
8.11,8.26167235386561e-10,5.2504019477469e-10,3.01127040611871e-10
8.12,8.27200203653846e-10,5.25481942409709e-10,3.01718261244137e-10
8.13,8.28238986670909e-10,5.2592427108986e-10,3.02314715581049e-10
8.14,8.29283705767977e-10,5.263671818964e-10,3.02916523871577e-10
8.15,8.30334486782316e-10,5.26810675913294e-10,3.03523810869021e-10
8.16,8.3139146025296e-10,5.27254754227233e-10,3.04136706025727e-10
8.17,8.32454761623712e-10,5.27699417927635e-10,3.04755343696077e-10
8.18,8.33524531454533e-10,5.28144668106661e-10,3.05379863347872e-10
8.19,8.34600915641261e-10,5.28590505859219e-10,3.06010409782042e-10
8.2,8.35684065643447e-10,5.29036932282973e-10,3.06647133360474e-10
8.21,8.36774138719913e-10,5.29483948478356e-10,3.07290190241558e-10
8.22,8.37871298171516e-10,5.29931555548575e-10,3.0793974262294e-10
8.23,8.38975713590444e-10,5.30379754599624e-10,3.0859595899082e-10
8.24,8.40087561115255e-10,5.3082854674029e-10,3.09259014374964e-10
8.25,8.41207023690734e-10,5.31277933082163e-10,3.09929090608571e-10
8.26,8.42334291331574e-10,5.31727914739644e-10,3.1060637659193e-10
8.27,8.43469561388744e-10,5.32178492829959e-10,3.11291068558785e-10
